prompt,completion
how is iron made,49
how do you feel after hearing justin bieber's new album,57
please set the equalizer in the party mode,28
can we play twenty questions,51
how about you save this music,43
delete butterfly clips from my wish list,53
get me the recipe for rice,9
show mobile number of john,17
turn on shuffle,28
countdown for the birthday of my brother,32
give me some lavender toned light,1
good evening,5
set the average of the device,29
can you book me a taxi,54
list the items on my shopping list,59
what the highest likes on facebook,27
any runs on the west side,6
after this song play atmosphere,45
book a taxi uber,54
play the top forty station with rocket and theresa,36
give me the stock price of sony,4
give the shortest route to the airport,42
send a tweet to company,47
geography please,49
all march events in rccg is to be added to my calendar,50
when i will get the delivery,3
what is a hibachi grill,26
order the best priced general tofu in nyack,16
please delete everything from my calendar,30
what spices are in indian food,9
give me the time,0
lower my music player volume by fifty percent of its current level,14
what are some highly rated restaurants in this area,19
answer email from,13
what are the details on umf,12
alexa do all my chores so i can take a nap,12
get the latest news about formula one racing please,22
show me the current traffic nearby me,11
tell me a dirty joke,25
play hotel california after this song,45
tell me what time it is right now,0
play my top twenty playlist,45
famous person biographies,12
change the lights in the kitchen to blue,1
enter new address in email form,33
show latest news about migration,22
play busdriver,45
good restaurants,12
send tweet to walmart,47
shut down the plug,8
can you set my coffee machine to make me coffee at four p. m. time,56
do i need to take the umbrella out today,13
a joke please,25
prepare to send an outgoing reply message,33
give me the news update from b. b. c.,22
remind me daily at eleven am for meeting with boss,50
what is the current stock price for hasbro,4
do you have any updates on blank,22
what is worth more a u. s. d. or aus,10
the lights are too bright,31
what is the estimated travel time for the train ride to orlando,42
tell me where the local shopping district is,19
please order take from jason's deli,16
markets near by,19
tell me when my moms birthday is,50
carlos linux upgrade email,44
turn down volume,35
what high school did halley barry go to,49
lower the light to forty percent,31
open take-out menus,16
give me the facts on yankee stadium,26
give me my social media update,27
my alarms,23
is it going to rain on my birthday,13
please check the train schedule for wednesday at five p. m. going to rockville,42
tell company their service is bad,47
i want to hear some rap please,45
increase the bright of the light,18
where is botswana,49
please speak loud,14
there are certain parts of my day where i am fatigued,12
how do i measure a liter of milk,12
do i have to do something later,32
define forensic,26
open games directory,51
remind me to buy ham when i am in the shop next time,50
i'd like to hear folk songs from one thousand nine hundred and sixty eight,45
start playing music,45
what i can do with laptop,26
what's in the news today,22
add this channel to pandora,43
is it windy today,13
add to calendar an office meeting for the next three days,50
anything unique to do in the city today,6
please set a meeting for tomorrow on my calendar,50
restart audiobook,20
give me weather condition of manhattan,13
remind me to play this song tonight,45
find an uber that can get me to the airport now,54
book me a train ticket to new york city on the third i don't care what time,2
which part of the country has tropical forest,49
what do i need to remember,32
play the footloose song,45
please remove the appointment on april first,30
who is the singer of this song right now,57
what's the exact time we get food delivered once we place an order for food,3
email tom the date and time of tomorrow's meeting,33
please delete this calendar event,30
select the r. & b. playlist from the nineties please,45
siri please reserve the next taxi a nine am,54
cancel my meeting for friday,30
set up a reoccurring grocery store trip for every sunday,50
next month my brothers birthday,50
set twenty first april every year as dad's birthday,50
i need a repeating reminder for every monday at three hundred and thirty p. m.,50
play thinking out loud now,45
is that the song from specter,57
is there a takeaway in chipotle restaurant,3
i would like you to come up with the answer to the question,12
i heard about a breaking news about our new provider please check the news and update me,22
more volume please,14
how close is it to eight p. m.,0
make a note on my to do list to call the realtor,21
how much money in us would i need to have a thousand pesos,10
email search new messages from,44
who is barack obama,49
what area has at least a thousand miles of open desert,49
i want to start a new list,21
go to the third episode of this podcast,58
delete any and all events,30
how's it hangin,12
hey siri what is in the world news right now,22
turn up your volume,14
mark dad's retirement dinner for april fourth,50
what is the latest news about this world,22
which currency is greater the us dollar or yen,10
email company worker about work project,33
read freds emails,44
read most recent reminder,32
remind me about tuesday meeting with client at ten am,50
where are italian restaurants in my area,19
is today a sunscreen day,13
book my next free day in the calendar for me to get a haircut at sally's,50
i'm back any new emails since i left,44
the song playing now is released by which artist,57
has any mail received with an attachment,44
are there any alarms set what are they,23
change background,1
tweet comcast and tell them that their service is down again,47
resume play on my most recent audiobook selection,20
order me postmates of mcdonald,16
get status changed in social media,47
olly lights off,40
no notifications for five minutes,46
alexa turn off the wemo socket in the kitchen,8
what home alarms have been set,23
reschedule the party to thursday,30
siri what's happened in the news today,22
i want to hear study playlist,45
any low priced delicacies,16
are there new emails for me,44
what is twelve times eight,39
select recipe,9
please check alarms,23
please remove list,53
remind me of sarah's birthday three days ahead of time,50
clock time,0
remind me at location,50
i need to know events scheduled for the weekend,32
forward email address to my new email olly,33
can you tell me the top news stories about the white house,22
please rub my back,12
create a birthday wish reminder for tomorrow at ten am,50
which events my facebook friends will be attending,32
what is the recipe for chocolate chips,12
email mom about lunch,33
show me my new emails,44
play the last played audiobook,20
how much does nestle company cost,4
set a reminder for fifteen minutes to change laundry loads,50
thursday at two p. m. i must meet with mr. forman please mark the calendar,50
how does an elephant looks like,26
remove mike stein from contacts list,53
play n. p. r. on the car radio,36
please save my rating on this song it is five stars please,43
i want to hear the radio olly,36
turn on some rap music,45
olly call a taxi,54
what time does the train arrive,42
sports scores,22
notify me of breaking news on c. n. n.,22
please turn off the lights in the bedroom,40
check any email if i got from rohan,44
would you like to play a game with me,51
a step by step guide for how to save music,45
i need a ride in an hour,54
any new emails in my inbox,44
where does this friend live,17
what is the weather next week in pasadena ca,13
please read me my alarms,23
will it rain in the noon,13
what defines a triangle,26
where is my pizza from domino's at,3
any free events in la today,6
how do you get,22
google what is the temperature outside,13
what is the last day of the month,0
alexa create a new list,21
can you add to my calendar an event for next friday,50
reminder,48
can you please tell me what is the meaning of the word turnt,26
audio start,20
look up the senders and subjects of recent email,44
olly find a ride to the bar,54
where is the fire,14
could you please help me to order some sushi from deliveroo,16
start music in playlist,45
what is going on with blank,22
is it supposed to rain tonight,13
find apple pie recipe,9
will the weather be hot or cold tomorrow,13
how to make cheesecake,9
olly tell me the best exercises i should do to get a six pack in a week,12
please check the time,0
remind me at the fifteenth of every month,50
i have to go to a meting on friday at noon can you remind me,50
are there any alarms set right now,23
give me the weather detail of fifteenth march,13
i want to hear the jim and bob show on one oh three point three,36
show me the list of alarms,23
is it a rainy and stormy day,13
what did jlo do today,12
